,bids_price,bids_qty,asks_price,asks_qty
0,9489.69000000,1.38246500,9489.70000000,1.98015900
1,9489.65000000,0.01322200,9489.73000000,0.39758000
2,9489.58000000,0.82722100,9489.79000000,0.00860700
3,9489.51000000,0.01462000,9489.84000000,0.04890300
4,9489.47000000,0.01172200,9489.85000000,0.01007600
5,9489.44000000,0.00970500,9489.86000000,0.15789700
6,9489.42000000,0.11831100,9489.89000000,0.00722400
7,9489.34000000,0.01292000,9489.91000000,0.01173200
8,9489.12000000,0.01260900,9490.00000000,5.61274300
9,9489.06000000,0.05999700,9490.01000000,0.07156700
10,9489.03000000,0.01248600,9490.02000000,0.16640700
11,9489.00000000,0.06970400,9490.06000000,0.30400000
12,9488.93000000,0.00999800,9490.07000000,0.01159700
13,9488.91000000,0.00210700,9490.34000000,0.30020200
14,9488.90000000,0.00828000,9490.36000000,0.10541000
15,9488.67000000,0.03326400,9490.38000000,0.00219000
16,9488.66000000,0.00002400,9490.48000000,1.00000000
17,9488.44000000,0.01115700,9490.49000000,0.01509800
18,9488.41000000,0.27789700,9490.51000000,0.01000000
19,9488.21000000,0.01164100,9490.57000000,0.26316800
20,9488.17000000,0.01044900,9490.59000000,0.00134400
21,9487.98000000,0.00558200,9490.68000000,0.01166100
22,9487.94000000,0.00023100,9490.71000000,0.19071900
23,9487.79000000,0.01173800,9490.72000000,0.00044900
24,9487.57000000,0.83172700,9490.82000000,0.05341600
25,9487.56000000,0.19998400,9490.97000000,0.16000000
26,9487.52000000,0.28165500,9490.99000000,0.37675100
27,9487.51000000,0.35000000,9491.05000000,0.21082000
28,9487.42000000,0.04000000,9491.14000000,0.10000000
29,9487.39000000,1.63198700,9491.19000000,0.30400000
30,9487.38000000,0.66874200,9491.20000000,0.25000000
31,9487.36000000,0.26316100,9491.27000000,0.09155000
32,9487.33000000,0.35000000,9491.36000000,0.30400000
33,9487.32000000,0.35000000,9491.43000000,0.30000000
34,9487.28000000,0.06200000,9491.56000000,0.01319000
35,9487.26000000,0.35000000,9491.59000000,1.24023900
